Surfshark UI Element Map (PID 16716)
================================================================================
138. Type: Text         | Class: TextBlock            | Name: 'Descargado'                        | Text: 'Descargado'                        | Rect: (L1599, T346, R1743, B368)
139. Type: DataItem     | Class: ItemsControlItem     | Name: 'System.Windows.Controls.ContentControl' | Text: 'System.Windows.Controls.ContentControl' | Rect: (L1423, T310, R1583, B400)
140. Type: Text         | Class: TextBlock            | Name: 'Automático (WireGuard® seguridad cuántica)' | Text: 'Automático (WireGuard® seguridad cuántica)' | Rect: (L1431, T318, R1575, B390)
141. Type: Text         | Class: TextBlock            | Name: 'Protocolo en uso'                  | Text: 'Protocolo en uso'                  | Rect: (L1431, T394, R1575, B416)
142. Type: DataItem     | Class: ItemsControlItem     | Name: 'Surfshark.Controls.CustomComponents.ValueComponent.ValueComponent' | Text: 'Surfshark.Controls.CustomComponents.ValueComponent.ValueComponent' | Rect: (L1423, T310, R1583, B400)
143. Type: Text         | Class: TextBlock            | Name: 'Conexión automática'               | Text: 'Conexión automática'               | Rect: (L1431, T318, R1575, B366)
144. Type: Text         | Class: TextBlock            | Name: 'Off'                               | Text: 'Off'                               | Rect: (L1431, T370, R1575, B392)
145. Type: Custom       | Class: EngagementNotificationsView | Name: ''                                  | Text: ''                                  | Rect: (L1423, T739, R1751, B755)
146. Type: Custom       | Class: NotificationsHeaderView | Name: ''                                  | Text: ''                                  | Rect: (L1423, T755, R1751, B771)
147. Type: Custom       | Class: VpnConnectionControlView | Name: ''                                  | Text: ''                                  | Rect: (L1423, T771, R1751, B901)
148. Type: Custom       | Class: LocationConnectionDisplayView | Name: ''                                  | Text: ''                                  | Rect: (L1439, T787, R1735, B829)
149. Type: Custom       | Class: QuickConnectLocationView | Name: ''                                  | Text: ''                                  | Rect: (L1439, T787, R1735, B829)
150. Type: Custom       | Class: LocationFlag         | Name: ''                                  | Text: ''                                  | Rect: (L1439, T787, R1487, B829)
151. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1439, T792, R1487, B824)
152. Type: Text         | Class: TextBlock            | Name: 'Argentina'                         | Text: 'Argentina'                         | Rect: (L1495, T787, R1656, B809)
153. Type: Text         | Class: TextBlock            | Name: 'Ubicación favorita'                | Text: 'Ubicación favorita'                | Rect: (L1495, T809, R1656, B829)
154. Type: Button       | Class: Button               | Name: 'Cambiar'                           | Text: 'Cambiar'                           | Rect: (L1664, T796, R1735, B820)
155. Type: Text         | Class: TextBlock            | Name: 'Cambiar'                           | Text: 'Cambiar'                           | Rect: (L1672, T800, R1727, B816)
156. Type: Custom       | Class: ConnectButtonView    | Name: ''                                  | Text: ''                                  | Rect: (L1439, T845, R1735, B885)
157. Type: Button       | Class: Button               | Name: 'Connect'                           | Text: 'Connect'                           | Rect: (L1439, T845, R1735, B885)
158. Type: Text         | Class: TextBlock            | Name: 'Conexión rápida'                   | Text: 'Conexión rápida'                   | Rect: (L1524, T855, R1650, B875)
159. Type: Custom       | Class: ToastNotificationsMainView | Name: ''                                  | Text: ''                                  | Rect: (L0, T0, R0, B0)
160. Type: Custom       | Class: ToastNotificationsView | Name: ''                                  | Text: ''                                  | Rect: (L0, T0, R0, B0)
161. Type: List         | Class: ItemsControl         | Name: ''                                  | Text: ''                                  | Rect: (L0, T0, R0, B0)
162. Type: Custom       | Class: BannerNotificationsMainView | Name: ''                                  | Text: ''                                  | Rect: (L1056, T75, R1760, B926)
163. Type: Custom       | Class: BannerNotificationsView | Name: ''                                  | Text: ''                                  | Rect: (L0, T0, R0, B0)
164. Type: List         | Class: ItemsControl         | Name: ''                                  | Text: ''                                  | Rect: (L0, T0, R0, B0)
165. Type: Custom       | Class: OverlayOnboardingView | Name: ''                                  | Text: ''                                  | Rect: (L992, T75, R1776, B926)
166. Type: Custom       | Class: SidebarView          | Name: ''                                  | Text: ''                                  | Rect: (L992, T75, R1056, B926)
167. Type: RadioButton  | Class: RadioButton          | Name: 'Surf shark'                        | Text: 'Surf shark'                        | Rect: (L1000, T83, R1048, B131)
168. Type: Custom       | Class: VpnProductActiveIcon | Name: ''                                  | Text: ''                                  | Rect: (L1008, T91, R1040, B123)
169. Type: RadioButton  | Class: RadioButton          | Name: 'Alternative ID'                    | Text: 'Alternative ID'                    | Rect: (L1000, T131, R1048, B179)
170. Type: Custom       | Class: AltIdProductDefaultIcon | Name: ''                                  | Text: ''                                  | Rect: (L1008, T139, R1040, B171)
171. Type: RadioButton  | Class: RadioButton          | Name: 'Alert'                             | Text: 'Alert'                             | Rect: (L1000, T179, R1048, B227)
172. Type: Custom       | Class: AlertProductDefaultIcon | Name: ''                                  | Text: ''                                  | Rect: (L1008, T187, R1040, B219)
173. Type: RadioButton  | Class: RadioButton          | Name: 'Antivirus'                         | Text: 'Antivirus'                         | Rect: (L1000, T227, R1048, B275)
174. Type: Custom       | Class: AntivirusProductDefaultIcon | Name: ''                                  | Text: ''                                  | Rect: (L1008, T235, R1040, B267)
175. Type: RadioButton  | Class: RadioButton          | Name: 'Search feature'                    | Text: 'Search feature'                    | Rect: (L1000, T275, R1048, B323)
176. Type: Custom       | Class: SearchProductDefaultIcon | Name: ''                                  | Text: ''                                  | Rect: (L1008, T283, R1040, B315)
177. Type: RadioButton  | Class: RadioButton          | Name: 'Settings'                          | Text: 'Settings'                          | Rect: (L1000, T870, R1048, B918)
178. Type: Custom       | Class: SettingsDefaultIcon  | Name: ''                                  | Text: ''                                  | Rect: (L1008, T878, R1040, B910)
